X,CH1,
Second,Volt,
2.59400e-04,2.56e-01,
2.60400e-04,2.64e-01,
2.61400e-04,2.40e-01,
2.62400e-04,2.48e-01,
2.63400e-04,2.24e-01,
2.64400e-04,2.40e-01,
2.65400e-04,2.16e-01,
2.66400e-04,2.32e-01,
2.67400e-04,2.16e-01,
2.68400e-04,2.32e-01,
2.69400e-04,2.16e-01,
2.70400e-04,2.16e-01,
2.71400e-04,2.32e-01,
2.72400e-04,2.24e-01,
2.73400e-04,2.40e-01,
2.74400e-04,2.32e-01,
2.75400e-04,2.40e-01,
2.76400e-04,2.32e-01,
2.77400e-04,2.48e-01,
2.78400e-04,2.56e-01,
2.79400e-04,2.48e-01,
2.80400e-04,2.48e-01,
2.81400e-04,2.64e-01,
2.82400e-04,2.48e-01,
2.83400e-04,2.64e-01,
2.84400e-04,2.56e-01,
2.85400e-04,2.40e-01,
2.86400e-04,2.48e-01,
2.87400e-04,2.40e-01,
2.88400e-04,2.48e-01,
2.89400e-04,2.32e-01,
2.90400e-04,2.40e-01,
2.91400e-04,2.32e-01,
2.92400e-04,2.40e-01,
2.93400e-04,2.32e-01,
2.94400e-04,2.40e-01,
2.95400e-04,2.32e-01,
2.96400e-04,2.32e-01,
2.97400e-04,2.48e-01,
2.98400e-04,2.40e-01,
2.99400e-04,2.56e-01,
3.00400e-04,2.64e-01,
3.01400e-04,2.48e-01,
3.02400e-04,2.64e-01,
3.03400e-04,2.56e-01,
3.04400e-04,2.56e-01,
3.05400e-04,2.64e-01,
3.06400e-04,2.64e-01,
3.07400e-04,2.72e-01,
3.08400e-04,2.64e-01,
3.09400e-04,2.72e-01,
3.10400e-04,2.64e-01,
3.11400e-04,2.72e-01,
3.12400e-04,2.64e-01,
3.13400e-04,2.72e-01,
3.14400e-04,2.64e-01,
3.15400e-04,2.72e-01,
